"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
857003,"Behavioral Health Data Analyst","Anywhere","Full-time","114805.0","2023-09-22","ICF"
1566879,"Data Analyst, Global Business Development","Anywhere","Full-time","114000.0","2023-11-01","Uber"
1354909,"Technical Business/Data Analyst (REMOTE)","Anywhere","Full-time","113500.0","2023-03-21","GEICO"
248219,"Data Analyst, Customer Success (Chicago, IL or Remote)","Anywhere","Full-time","112850.0","2023-09-16","Square"
236397,"Data Analyst","Anywhere","Full-time","112661.0","2023-07-29","Get It Recruit - Healthcare"
84928,"Experian Data Analyst Remote / Telecommute Jobs","Anywhere","Full-time","112500.0","2023-01-03","Seneca Resources, LLC"
71065,"Data Analyst Remote / Telecommute Jobs","Anywhere","Full-time","112500.0","2023-11-21","Paratus Solutions LLC"
185960,"Data Analyst","Anywhere","Full-time","112500.0","2023-12-03","Get It Recruit - Information Technology"
576410,"Remote Lead Business Data Analyst (Chicago, IL or Remote)","Anywhere","Full-time","112500.0","2023-05-03","UL Solutions"
1006256,"Data Analyst","Anywhere","Full-time","112500.0","2023-01-08","InvestM Technology LLC"
1728,"Data Engineer/Data Analyst","Anywhere","Full-time","112500.0","2023-05-24","Segue Technologies Inc"
147455,"Data Analyst (Remote)","Anywhere","Full-time","112050.0","2023-02-02","Cisco Meraki"
958872,"Data Analyst","Anywhere","Full-time and Part-time","111500.0","2023-10-20","IBM"
1434170,"Data Analyst III","Anywhere","Full-time","110000.0","2023-11-09","CREDITSERVE INC"
412163,"Medicaid Data Analyst","Anywhere","Contractor","110000.0","2023-06-26","Apex Systems"
1047698,"Data Analyst","Anywhere","Full-time","110000.0","2023-03-14","Insight Global"
1210470,"Data Analyst","Anywhere","Contractor","110000.0","2023-09-20","Convergenz"
1574686,"Data Analyst","Anywhere","Contractor","110000.0","2023-04-13","Insight Global"
1814437,"Data Analyst","Anywhere","Full-time","110000.0","2023-08-18","Get It Recruit - Real Estate"
1490432,"Retail Systems Data Analyst","Anywhere","Full-time","110000.0","2023-06-09","Get It Recruit - Information Technology"
409831,"Data Analyst","Anywhere","Full-time","110000.0","2023-12-21","Trinity Solar Careers"
321727,"Data Analyst III","Anywhere","Full-time","110000.0","2023-10-30","CREDITSERVE INC"
382334,"Energy Data Analyst","Anywhere","Full-time","110000.0","2023-08-30","DNV"
1348516,"Master Data Analyst","Anywhere","Full-time","110000.0","2023-10-02","Executive Search Partners LLC"
885463,"Master Data Analyst","Anywhere","Full-time","110000.0","2023-07-30","Executive Search Partners LLC"
894317,"Data Analyst","Anywhere","Full-time","110000.0","2023-12-24","Get It Recruit - Transportation"
1592165,"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Anywhere","Full-time","110000.0","2023-01-26","Robert Half"
991817,"Data Analyst","Anywhere","Full-time","110000.0","2023-10-23","Get It Recruit - Finance"
480243,"Data Analyst - Remote","Anywhere","Full-time","110000.0","2023-01-06","Cava Connect"
446319,"Data Analyst","Anywhere","Full-time","110000.0","2023-09-10","Get It Recruit - Finance"
991303,"EDI Data Analyst/Business Systems Analyst III  (Great Place to...","Anywhere","Full-time","109600.0","2023-06-05","Paradigm"
480984,"Portfolio Data Analyst (Remote)","Anywhere","Full-time","108500.0","2023-03-25","Addepar"
65900,"Data and Process Modeling Analyst","Anywhere","Full-time","107500.0","2023-12-30","Get It Recruit - Hospitality"
1795029,"Data Analyst - Remote","Anywhere","Full-time","107500.0","2023-09-20","Dice"
600392,"REMOTE PowerBI Data Analyst","Anywhere","Full-time","107500.0","2023-04-04","Insight Global"
1119269,"Data Analyst","Anywhere","Full-time","107500.0","2023-08-28","CODING DOJO INC."
1026200,"Data Analyst, Finance and Accounting (Remote)","Anywhere","Full-time","107500.0","2023-03-24","Rhino"
255533,"IT Data Analyst - Remote | WFH","Anywhere","Full-time","107500.0","2023-10-06","Get It Recruit - Information Technology"
107274,"Data Analyst","Anywhere","Full-time","106562.5","2023-09-05","Cherry Bekaert Advisory, LLC"
55833,"Data Governance Analyst II - Frameworks, Standards, & Policies","Anywhere","Full-time","106479.0","2023-08-03","Edward Jones"
228239,"Data Analyst II - Firm Analytics","Anywhere","Full-time","106479.0","2023-11-15","Edward Jones"
617583,"Data Analyst II - Firm Analytics","Anywhere","Full-time","106479.0","2023-09-04","Edward Jones"
800017,"Data Analyst","Anywhere","Full-time","106000.0","2023-08-12","Get It Recruit - Information Technology"
1454946,"Market Research & Data Analyst","Anywhere","Full-time","106000.0","2023-08-12","Get It Recruit - Information Technology"
1352378,"Building Management System Data Analyst","Anywhere","Full-time","105000.0","2023-08-16","Vantage Consulting"
1069248,"Data Analyst","Anywhere","Full-time","105000.0","2023-02-09","Starr And Associates LLC"
1344229,"Data Analyst","Anywhere","Full-time","105000.0","2023-10-23","Vista Global Solutions, LLC"
601788,"Data Visualization Analyst","Anywhere","Full-time","105000.0","2023-10-15","Get It Recruit - Information Technology"
1309967,"Sr Data Analyst","Anywhere","Full-time","105000.0","2023-04-23","CyberCoders"
371104,"Clinical Data Analyst","Anywhere","Full-time","105000.0","2023-01-23","Modis"
936268,"Marketing Data Analyst","Anywhere","Full-time","105000.0","2023-06-29","Syndicatebleu"
1091932,"Healthcare Data Analyst","Anywhere","Full-time","105000.0","2023-11-24","Get It Recruit - Healthcare"
909000,"Associate Director, Data Analysis","Anywhere","Full-time","105000.0","2023-01-27","EL Education (Formerly Expeditionary Learning)"
1640497,"Senior Analyst, Government Reporting","Anywhere","Full-time","105000.0","2023-09-24","Cnam - Auditeurs - Accueil"
426601,"Product Data Analyst","Anywhere","Full-time","105000.0","2023-06-12","Syrup"
748403,"Sales Comp Data Analyst (Remote, U.S.)","Anywhere","Full-time","104300.0","2023-07-14","Pitney Bowes"
380744,"Health Information Management Data Analyst III","Anywhere","Full-time","104106.5","2023-06-06","Health Plan of San Mateo"
909351,"Data Analyst","Anywhere","Full-time","104000.0","2023-12-04","Get It Recruit - Information Technology"
1559111,"Healthcare Data Analyst","Anywhere","Full-time","103500.0","2023-12-15","Get It Recruit - Information Technology"
1061483,"Data and Analytics Analyst","Anywhere","Full-time","103049.5","2023-08-08","Get It Recruit - Finance"
1679633,"Data Wrangling and Visualization Manager","Anywhere","Full-time","103000.0","2023-12-27","Get It Recruit - Information Technology"
1667594,"Data Integration Analyst","Anywhere","Full-time","103000.0","2023-04-17","AIDS Healthcare Foundation"
707689,"Epic Chronicles Database Analyst","Anywhere","Full-time","103000.0","2023-11-23","Get It Recruit - Information Technology"
61021,"Data Analyst","Anywhere","Full-time and Contractor","102500.0","2023-10-10","The Phoenix Group"
535535,"Data Analyst","Anywhere","Full-time","102500.0","2023-04-05","Orion Groups"
523374,"Data Analyst","Anywhere","Contractor","102500.0","2023-06-06","Insight Global"
949643,"Data Analyst","Anywhere","Full-time","102500.0","2023-06-25","Get It Recruit - Information Technology"
1277458,"Data Analyst","Anywhere","Full-time","102250.0","2023-09-20","ZipRecruiter"
1378977,"Remote Data Analyst III","Anywhere","Full-time","102000.0","2023-04-15","Get It Recruit - Information Technology"
4420,"Senior System/Data Analyst","Anywhere","Full-time","102000.0","2023-11-04","Get It Recruit - Information Technology"
1526567,"Data Analyst - Healthcare Industry (Remote)","Anywhere","Full-time","102000.0","2023-04-21","Get It Recruit - Information Technology"
1440,"Data Analyst - Empowering Insights for a Healthier Future","Anywhere","Full-time","101500.0","2023-07-15","Get It Recruit - Information Technology"
686507,"Data Analyst","Anywhere","Full-time","101500.0","2023-07-06","Get It Recruit - Information Technology"
1234973,"Data Analyst","Anywhere","Full-time","101500.0","2023-07-09","Get It Recruit - Information Technology"
1514995,"Data analyst remote","Anywhere","Full-time","100400.0","2023-12-23","UnitedHealth Group"
838504,"Data Analyst 2 - Remote","Anywhere","Full-time","100400.0","2023-02-26","Optum"
136192,"Healthcare Data Analyst- Hybrid","Anywhere","Full-time","100400.0","2023-11-27","UnitedHealth Group"
1519017,"Sr Supplemental Data Analyst - Remote","Anywhere","Full-time","100400.0","2023-02-27","UnitedHealth Group"
262921,"Tableau Data Analyst","Anywhere","Full-time","100000.5","2023-05-05","SAIC"
309300,"Business Data Analyst","Anywhere","Full-time","100000.0","2023-05-15","Scaleai"
1785328,"Healthcare Quality Data Analyst","Anywhere","Full-time","100000.0","2023-04-25","Insight Global Healthcare"
736533,"Data Analyst","Anywhere","Full-time","100000.0","2023-05-11","LHH"
327502,"Lead Data Analyst / SQL Developer","Anywhere","Full-time","100000.0","2023-09-08","Robert Half"
882690,"Marketing Data Analyst","Anywhere","Full-time","100000.0","2023-06-19","LHH"
524146,"Data Analyst","Anywhere","Full-time","100000.0","2023-02-23","Hearth"
734020,"Data Analyst","Anywhere","Full-time","100000.0","2023-12-22","Govcio LLC"
1217891,"Data Analytics Manager","Anywhere","Full-time","100000.0","2023-12-19","Get It Recruit - Information Technology"
43545,"Data Analyst - Healthcare","Anywhere","Full-time","100000.0","2023-01-22","InvestM Technology LLC"
420972,"Data Conversion Analyst","Anywhere","Full-time","100000.0","2023-06-23","Insight Global"
1331634,"Data Analyst - Investment Management","Anywhere","Contractor","100000.0","2023-04-08","InvestM Technology LLC"
670899,"Research Data Analyst","Anywhere","Full-time","99746.90625","2023-10-12","Calbright College"
1064019,"Legal Project Management Data Analyst","Anywhere","Full-time","99500.0","2023-07-24","Ogletree Deakins"
1733276,"Senior Earth Observation Data Analyst","Anywhere","Full-time","99500.0","2023-07-06","Get It Recruit - Information Technology"
867791,"Data Analyst III - SQL Analytics - Remote | WFH","Anywhere","Full-time","99000.0","2023-03-04","Get It Recruit - Technology"
1332763,"Research Data Analyst (remote)","Anywhere","Full-time","98800.0","2023-05-04","Ad Hoc Team"
